price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
11500000,3 BHK Apartment ,"1,365 sq ft",,"₹ 8,424/ sq ft ",,"Ready to move,Unfurnished",,Viman Nagar,Clover Realty Acropolis,11 - 12 years,,3,1,,,Resale,,North,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
11000000,3 BHK Apartment ,"2,800 sq ft",,"₹ 3,928/ sq ft ",,"Ready to move,Unfurnished",,Viman Nagar,Shree Rahde Constructions Camelot Housing Society,11 - 12 years,,3,6,,,Resale,,North,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Sports Facility,Landscaped Gardens"
40000000,4 BHK Apartment ,"3,000 sq ft",,"₹ 13,333/ sq ft ",,"Ready to move,Furnished",,Kalyani Nagar,Reputed Builder Landmark Garden,6 - 7 years,,4,4,,,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Sports Facility,Landscaped Gardens"
10100000,3 BHK Apartment ,"1,650 sq ft",,"₹ 6,121/ sq ft ",,"Ready to move,Unfurnished",,Wagholi,Marvel Realtors Fria,2 - 3 years,,3,10,,,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Golf Course,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",
160300000,5 BHK Apartment ,"8,440 sq ft",,"₹ 18,992/ sq ft ",,"Ready to move,Unfurnished",,Sangamvadi,Marvel Realtors Ribera A Building,2 - 3 years,,5,2,,,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
6600000,2 BHK Apartment ,"1,140 sq ft",,"₹ 5,789/ sq ft ",1 rooms( pooja room ),"Ready to move,Unfurnished",,Viman Nagar,,8 - 9 years,,2,"2, ",1,4,Resale,,East,Road View,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
19000000,3 BHK Apartment ,"1,600 sq ft",,"₹ 11,875/ sq ft ",1 rooms( servant room ),"Ready to move,Unfurnished",,Koregaon Park,,10 - 11 years,,3,"1, ",2,7,Resale,,North,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
35000000,4 BHK Apartment ,"2,615 sq ft",,"₹ 13,384/ sq ft ",1 rooms( servant room ),"Ready to move,Unfurnished",,Koregaon Park,,5 - 6 years,,4,"4, ",2,12,Resale,,East,"Pool View, Garden View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
21000000,3 BHK Apartment ,"2,200 sq ft",,"₹ 9,545/ sq ft ",,"Ready to move,Unfurnished",,Koregaon Park,,5 - 6 years,,3,"1, ",1,5,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
24300000,3 BHK Apartment ,"1,850 sq ft",,"₹ 13,135/ sq ft ",1 rooms( servant room ),"Ready to move,Unfurnished",,Koregaon Park,,5 - 6 years,,4,"3, ",2,9,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
