price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
8500000,3 BHK Apartment ,"1,458 sq ft",,"₹ 5,829/ sq ft ",,"Ready to move,Unfurnished",,Ambegaon Budruk,Amit Astonia Royale,0 - 1 year,25 feet,3,"2, ",,12,Resale,2,West,Road View,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Jogging Track,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall","Children's play area,Sports Facility"
21000000,3 BHK Apartment ,"1,401 sq ft",1120 sq ft,"₹ 14,989/ sq ft ","3 rooms( study room, servant room, pooja room )","Ready to move,Unfurnished",,Deccan Gymkhana,Icon Prajakt,7 years,30 feet,2,"3, ",1,5,Resale,2,North,"Garden View, Pool View, Road View",Freehold,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection","Lift Available,Sports Facility,AC,TV,Wifi,BED"
6280600,2 BHK Apartment ,"1,225 sq ft",908 sq ft,"₹ 5,127/ sq ft ",,Ready to move,,Hinjewadi,Paras Delicia,1 year,30 feet,2,1,2,,New,2,East,Corner,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED"
12000000,3 BHK Apartment ,"1,365 sq ft",1065 sq ft,"₹ 8,791/ sq ft ",,Under Construction,Dec 2020,Kharadi,,,60 feet,3,"6, ",2,23,New,2,West,"Corner, Garden View, Pool View, Road View",Co-Operative Society,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
12500000,3 BHK Apartment ,"1,643 sq ft",1250 sq ft,"₹ 7,608/ sq ft ",,Under Construction,Dec 2019,Balewadi,Nahar F Residences,,50 feet,3,"8, ",4,14,New,2,East,"Corner, Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED"
46000000,5 BHK Villa ,"5,500 sq ft",,"₹ 8,363/ sq ft ",,Ready to move,,Bavdhan,Geras Isle Royale,1 - 2 years,60 feet,5,Gr ,3,4,New,3,East,"Corner, Garden View, Pool View, Road View",Co-Operative Society,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens,AC,Wifi,Gas connection","Club House,Gymnasium,Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED"
7520000,2 BHK Apartment ,842 sq ft,,"₹ 8,931/ sq ft ",,Under Construction,Mar 2019,Mundhwa,Godrej Infinity,,,2,"1, ",2,28,New,2,NorthEast,"Road View, Garden View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,School,Hospital",Sports Facility
8400000,3 BHK Apartment ,"1,216 sq ft",936 sq ft,"₹ 6,907/ sq ft ",,Under Construction,Mar 2020,Undri,Godrej Prana,,,3,,1,14,New,3,South,"Corner, Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM,Wardrobe,BED","Sports Facility,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection"
8578635,3 BHK Apartment ,"1,517 sq ft",,"₹ 5,655/ sq ft ",,"Under Construction,Unfurnished",,Wakad,Vastukalp 9 Avenues,,,2,9,,,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Sports Facility,Landscaped Gardens"
2800000,1 BHK Apartment ,590 sq ft,,"₹ 4,745/ sq ft ",,Under Construction,Dec 2018,Talegaon Dabhade,VTP Urban Life,,50 feet,1,"12, ",1,12,New,2,East,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",
